film-item-rating-position__position,selection-film-item-poster__rating,selection-film-item-meta__name,rating__value,rating__count
131,8.1,Загадочная история Бенджамина Баттона,8.1,400 514
132,8.2,Мой сосед Тоторо,8.1,152 109
133,8.3,Изгой,8.1,303 494
134,7.8,Хоббит: Битва пяти воинств,8.1,274 655
135,8.0,Один дома 2: Затерянный в Нью-Йорке,8.1,260 108
136,8.3,Тот самый Мюнхгаузен,8.1,97 157
137,8.2,Доктор Лиза,8.1,70 083
138,7.9,Такси,8.1,227 043
139,7.9,Война,8.1,93 526
140,8.1,Профессионал,8.1,96 289
141,8.4,Запах женщины,8.1,222 488
142,8.1,Звёздные войны: Эпизод 4 – Новая надежда,8.1,243 883
143,7.8,Труп невесты,8.1,186 737
144,8.1,Звёздные войны: Эпизод 6 – Возвращение Джедая,8.1,227 929
145,7.8,Дом у озера,8.1,155 816
146,8.2,Мальчик в полосатой пижаме,8.1,241 669
147,8.2,Спасти рядового Райана,8.1,248 468
148,8.2,Человек дождя,8.1,254 310
149,8.4,Белый Бим Черное ухо,8.1,98 411
150,8.2,Прислуга,8.1,211 034
151,8.1,Терминал,8.1,264 250
152,8.0,Люди в черном,8.1,304 994
153,8.1,Счастливое число Слевина,8.1,342 840
154,7.9,Далласский клуб покупателей,8.1,263 331
155,8.0,Достать ножи,8.1,486 107
156,8.0,Вторая жизнь Уве,8.1,125 188
157,7.9,В поисках Немо,8.1,241 355
158,7.8,Рок-н-рольщик,8.1,228 096
159,7.9,История игрушек,8.1,199 589
160,8.0,Троя,8.1,256 055
161,7.9,Бесславные ублюдки,8.1,353 955
162,8.3,Летят журавли,8.1,92 895
163,8.1,Форма голоса,8.1,68 037
164,8.3,Шерлок Холмс и доктор Ватсон: Сокровища Агры,8.1,87 936
165,8.1,Славные парни,8.1,155 938
166,8.1,Военный ныряльщик,8.1,102 049
167,8.1,Спирит: Душа прерий,8.1,94 642
168,8.0,Дело храбрых,8.1,137 090
169,7.6,Человек-паук,8.1,285 002
170,8.3,Балто,8.1,159 110
171,8.1,Мимино,8.1,105 567
172,8.0,Гордость и предубеждение,8.1,168 950
173,7.9,Судья,8.1,187 597
174,8.0,Богемская рапсодия,8.1,376 113
175,8.2,Блеф,8.1,100 725
176,8.0,Ледниковый период,8.1,320 105
177,8.0,Исчезнувшая,8.0,430 469
178,8.3,Красавица и чудовище,8.0,255 859
179,8.2,Берегись автомобиля,8.0,142 981
180,7.9,Мстители,8.0,512 574
181,8.2,Вам и не снилось...,8.0,97 938
182,8.2,"Три билборда на границе Эббинга, Миссури",8.0,319 987
183,8.1,Остров собак,8.0,97 276
184,7.9,Аватар,8.0,718 654
185,8.1,Иди и смотри,8.0,73 596
186,8.2,12 стульев,8.0,201 579
187,7.8,Линкольн для адвоката,8.0,237 144
188,8.1,Заплати другому,8.0,140 092
189,8.1,Темный рыцарь: Возрождение легенды,8.0,378 729
190,8.0,"Знакомьтесь, Джо Блэк",8.0,232 501
191,8.4,Шерлок Холмс и доктор Ватсон: Кровавая надпись,8.0,101 334
192,7.9,Отель «Гранд Будапешт»,8.0,330 868
193,8.5,Крестный отец 2,8.0,173 859
194,7.6,Хранители,8.0,221 276
195,8.0,За бортом,8.0,92 830
196,8.1,Умница Уилл Хантинг,8.0,196 982
197,8.0,Трасса 60,8.0,261 152
198,7.9,Звёздные войны: Эпизод 1 – Скрытая угроза,8.0,259 632
199,8.1,Анастасия,8.0,147 800
200,8.1,Дурак,8.0,294 007
201,8.2,В погоне за счастьем,8.0,268 242
202,7.8,Эрин Брокович,8.0,66 214
203,8.1,Индиана Джонс и последний крестовый поход,8.0,143 864
204,8.0,Лучшее предложение,8.0,257 158
205,8.1,Последний самурай,8.0,167 734
206,8.0,Ученик чудовища,8.0,44 897
207,8.1,Гонка,8.0,191 221
208,8.0,Искупление,8.0,149 271
209,8.0,Крепкий орешек,8.0,221 792
210,8.1,Шерлок Холмс,8.0,493 294
211,7.7,Лекарь: Ученик Авиценны,8.0,95 226
212,8.3,Однажды в Америке,8.0,133 606
